"bill_id","status","title","link_id","proposer_type","proposed_date","decision_date","decision_result","has_summaries","status_detail"
"1900001","1","발달장애인 지원 및 권리보장에 관한 법률안(김정록의원 등 13인)","PRC_R1H2D0T5W3F0C0K9T0R6G1W7U3M7Y6","의원","2012-05-30","","","1","소관위심사"
"1900002","1","청년고용촉진 특별법 일부개정법률안(윤영석의원 등 11인)","PRC_N1O2Y0F5S3L0J0L9I2N5U5O6N5N9O9","의원","2012-05-30","","","1","소관위심사"
"1900003","1","부담금관리 기본법 일부개정법률안(윤영석의원 등 11인)","PRC_O1N2A0X5W3M0A0L9R2L7A5V3P9U4L3","의원","2012-05-30","","","1","소관위심사"
"1900004","1","제주4·3사건 진상규명 및 희생자명예회복에 관한 특별법 일부개정법률안(김우남의원 등...","PRC_L1V2M0N5S3V0W0P9F3J1C4H5E4B9M4","의원","2012-05-30","","","1","소관위심사"
"1900005","1","제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법 일부개정법률안(김우남의원...","PRC_E1N2P0F5U3P0H0C9V3B3T2Y9I8H4F4","의원","2012-05-30","","","1","소관위심사"
"1900006","1","공직선거법 일부개정법률안(김용태의원 등 11인)","PRC_S1J2Y0P5E3S0S0A9C3X5T3V2G4N9L7","의원","2012-05-30","","","1","소관위심사"
"1900007","1","소득세법 일부개정법률안(김희정의원 등 11인)","PRC_H1E2Z0O5W3S0E0C9S3L7Y5E7R6B5E6","의원","2012-05-30","","","1","소관위심사"
"1900008","1","상법 일부개정법률안(김정록의원 등 24인)","PRC_K1R2X0P5Y3I0M1S0M1X4C5J2X2H5D4","의원","2012-05-30","","","1","소관위심사"
"1900009","2","유통산업발전법 일부개정법률안(손인춘의원 등 24인)","PRC_G1S2P0R5W3I0C1P0M1K9P0V2W0L0H3","의원","2012-05-30","2013-01-01","대안반영폐기","1","대안반영폐기"
"1900010","2","하도급거래 공정화에 관한 법률 일부개정법률안(진영의원 등 30인)","PRC_N1I2F0M5A3L0H1A0H2H3D1N9B8B3U2","의원","2012-05-30","2013-04-30","대안반영폐기","1","대안반영폐기"
"1900011","2","고용정책 기본법 일부개정법률안(이한구의원 등 28인)","PRC_F1O2R0H5K3H0W1G0K2A4Q2P0E9A2K1","의원","2012-05-30","2012-11-22","원안가결","1","공포"
